config,rule,eps,min_pos,rate_update,filter_rate_BSZZ,filter_rate_LSZZ,filter_rate_MASZZ,filter_rate_oracle,gain_BSZZ,gain_LSZZ,gain_MASZZ,gain_oracle,nd_pass
quantile/q=0.3|eps=0.0|minpos=20|observed,quantile/q=0.3,0.0,20.0,observed,0.2790235404896422,0.1541456228956229,0.2609427338206765,0.1437929717341482,0.030483584322306384,0.017158252513184855,0.025752316446903276,0.011327665495757866,True
quantile/q=0.3|eps=0.0|minpos=20|suppress,quantile/q=0.3,0.0,20.0,suppress,0.2625649717514124,0.1463594276094276,0.24936654337645134,0.13665011459129106,0.0299562389072663,0.01969057724490779,0.03262251864685546,0.011957093773345903,True
quantile/q=0.3|eps=0.0|minpos=30|observed,quantile/q=0.3,0.0,30.0,observed,0.2362542372881356,0.11193181818181817,0.2053812114065452,0.12093059446000623,0.0444057379519405,0.015735186061638526,0.018843213044333992,0.006494164130958005,True
quantile/q=0.3|eps=0.0|minpos=30|suppress,quantile/q=0.3,0.0,30.0,suppress,0.23861016949152541,0.10898569023569024,0.2036060709802579,0.11259726112667288,0.03915056827137925,0.015014381007528638,0.02374104211361354,0.008587302478153883,True
quantile/q=0.3|eps=0.0|minpos=50|observed,quantile/q=0.3,0.0,50.0,observed,0.21280602636534837,0.08930976430976431,0.14213295801792894,0.09113756613756614,0.023703189174214323,0.01184207891061577,0.024590324666736732,0.004335523991090634,True
quantile/q=0.3|eps=0.0|minpos=50|suppress,quantile/q=0.3,0.0,50.0,suppress,0.2085852165725047,0.08468013468013467,0.1349842139297805,0.09986772486772487,0.022507174139576175,0.013233585412566792,0.027246724113169696,-0.001905949862638423,True
quantile/q=0.3|eps=0.1|minpos=20|observed,quantile/q=0.3,0.1,20.0,observed,0.2677401129943503,0.14610690235690235,0.2671684421800216,0.1437929717341482,0.029182008821481878,0.019578132278461086,0.026917920593522493,0.01054378324664304,True
quantile/q=0.3|eps=0.1|minpos=20|suppress,quantile/q=0.3,0.1,20.0,suppress,0.2618709981167608,0.1529040404040404,0.2549191900884512,0.13903106697224346,0.0279474964871,0.018575562645830573,0.029008691959512986,0.009265707192348663,True
quantile/q=0.3|eps=0.1|minpos=30|observed,quantile/q=0.3,0.1,30.0,observed,0.23993785310734464,0.10978535353535353,0.20491840693826316,0.12026921879863056,0.04507744230224327,0.013058140184508404,0.023211265459526884,0.007244316650673335,True
quantile/q=0.3|eps=0.1|minpos=30|suppress,quantile/q=0.3,0.1,30.0,suppress,0.2358997175141243,0.1109006734006734,0.20253971876703816,0.11524276377217554,0.037433912996789845,0.01670208927139155,0.022397802833646827,0.006780233363184035,True
quantile/q=0.3|eps=0.1|minpos=50|observed,quantile/q=0.3,0.1,50.0,observed,0.2097306967984934,0.0867845117845118,0.1394791230806294,0.09219576719576719,0.021184482285835193,0.012766417044554113,0.024508552893965696,0.00338728804806257,True
quantile/q=0.3|eps=0.1|minpos=50|suppress,quantile/q=0.3,0.1,50.0,suppress,0.20637193973634652,0.08813131313131313,0.13730837993076953,0.09312169312169312,0.02317156669065798,0.011774519228297253,0.023371352786451347,0.00010490764921564089,True
