project,train_label,seed,fading,warmup,mcc_avg,gmean_avg,mcc_terminal
ant-ivy,MASZZ,21,0.9,0.05,0.08299038835111663,0.4876588747438319,-0.026997642148265968
ant-ivy,MASZZ,21,0.9,0.1,0.09177761163987719,0.49290815683222006,-0.026997642148265968
ant-ivy,MASZZ,21,0.9,0.25,0.10196573615213275,0.5005954686562467,-0.026997642148265968
ant-ivy,MASZZ,21,0.95,0.0,0.06977192031192832,0.49922685445981524,-0.05970112372897889
ant-ivy,MASZZ,21,0.95,0.05,0.07918673295563755,0.5085163518693729,-0.05970112372897889
ant-ivy,MASZZ,21,0.95,0.1,0.08994941739150832,0.5142888001280509,-0.05970112372897889
ant-ivy,MASZZ,21,0.95,0.25,0.10013951513710054,0.522381809521037,-0.05970112372897889
ant-ivy,MASZZ,21,0.99,0.0,0.07048742190247402,0.5290137739333548,-0.04481825700990699
ant-ivy,MASZZ,21,0.99,0.05,0.07985031253774827,0.5392307195031031,-0.04481825700990699
ant-ivy,MASZZ,21,0.99,0.1,0.09277809782820393,0.5469275435881855,-0.04481825700990699
ant-ivy,MASZZ,21,0.99,0.25,0.10826505521748457,0.5583173992421386,-0.04481825700990699
ant-ivy,MASZZ,21,0.995,0.0,0.06940106766171797,0.5320472878878274,-0.00723915196406482
ant-ivy,MASZZ,21,0.995,0.05,0.07872427206637789,0.5423759221403024,-0.00723915196406482
ant-ivy,MASZZ,21,0.995,0.1,0.09157252995948995,0.5503584073734095,-0.00723915196406482
ant-ivy,MASZZ,21,0.995,0.25,0.11062599873715015,0.5645443908107528,-0.00723915196406482
ant-ivy,MASZZ,21,0.999,0.0,0.05790435737366396,0.524775442855424,0.07106641715391716
ant-ivy,MASZZ,21,0.999,0.05,0.06665083402828684,0.5346882894831317,0.07106641715391716
ant-ivy,MASZZ,21,0.999,0.1,0.07872677002492005,0.5423464488519218,0.07106641715391716
ant-ivy,MASZZ,21,0.999,0.25,0.09997697421354382,0.5580679225282781,0.07106641715391716
ant-ivy,LSZZ,7,0.9,0.0,0.09526888938302802,0.4933757068388121,0.005612349288035006
ant-ivy,LSZZ,7,0.9,0.05,0.10569186655488212,0.5036799204520516,0.005612349288035006
ant-ivy,LSZZ,7,0.9,0.1,0.09948967800629259,0.49922666807314486,0.005612349288035006
ant-ivy,LSZZ,7,0.9,0.25,0.11613422264828263,0.5151828008494946,0.005612349288035006
ant-ivy,LSZZ,7,0.95,0.0,0.09271321982627712,0.5158705840187872,0.02319798159759829
ant-ivy,LSZZ,7,0.95,0.05,0.10345167337949099,0.52610134736249,0.02319798159759829
ant-ivy,LSZZ,7,0.95,0.1,0.09887157423742315,0.5228190196416902,0.02319798159759829
ant-ivy,LSZZ,7,0.95,0.25,0.11431955126298345,0.5364201633363777,0.02319798159759829
ant-ivy,LSZZ,7,0.99,0.0,0.09198138940667422,0.5390032466887612,-0.003181963183223678
ant-ivy,LSZZ,7,0.99,0.05,0.10256039167732033,0.5497321894557832,-0.003181963183223678
ant-ivy,LSZZ,7,0.99,0.1,0.1043368322743258,0.5506433328017803,-0.003181963183223678
ant-ivy,LSZZ,7,0.99,0.25,0.11469595434363412,0.5565891519935342,-0.003181963183223678
ant-ivy,LSZZ,7,0.995,0.0,0.09621657750722089,0.5466224169191658,-0.0015445797060788021
ant-ivy,LSZZ,7,0.995,0.05,0.10702379710799338,0.5576998289603756,-0.0015445797060788021
ant-ivy,LSZZ,7,0.995,0.1,0.11031755700604652,0.5598988019266287,-0.0015445797060788021
ant-ivy,LSZZ,7,0.995,0.25,0.1217844526305491,0.5671353699951749,-0.0015445797060788021
ant-ivy,LSZZ,7,0.999,0.0,0.09916197701251124,0.5517537789347634,0.09324917444975207
ant-ivy,LSZZ,7,0.999,0.05,0.11013938366343809,0.5630629339080029,0.09324917444975207
ant-ivy,LSZZ,7,0.999,0.1,0.11463630180541441,0.5663119345765394,0.09324917444975207
ant-ivy,LSZZ,7,0.999,0.25,0.12792707268242728,0.5755495854150221,0.09324917444975207
ant-ivy,LSZZ,13,0.9,0.0,0.08002343765986095,0.469614572545875,-0.024939847712469803
ant-ivy,LSZZ,13,0.9,0.05,0.08902176108599899,0.4781557255928118,-0.024939847712469803
ant-ivy,LSZZ,13,0.9,0.1,0.08017134924790978,0.4717725133195554,-0.024939847712469803
ant-ivy,LSZZ,13,0.9,0.25,0.0932303169685753,0.48198564068326477,-0.024939847712469803
ant-ivy,LSZZ,13,0.95,0.0,0.07987109165999437,0.4981914121521158,-0.06333659786553683
ant-ivy,LSZZ,13,0.95,0.05,0.0893482049898622,0.5070720675319188,-0.06333659786553683
ant-ivy,LSZZ,13,0.95,0.1,0.08163587275132413,0.5019058882222495,-0.06333659786553683
ant-ivy,LSZZ,13,0.95,0.25,0.09351733180470077,0.5109613833641306,-0.06333659786553683
ant-ivy,LSZZ,13,0.99,0.0,0.08574149490655036,0.5335975507397046,-0.06785187327529535
ant-ivy,LSZZ,13,0.99,0.05,0.09553579098515881,0.5437223158524214,-0.06785187327529535
ant-ivy,LSZZ,13,0.99,0.1,0.09405320489612629,0.5432680746946268,-0.06785187327529535
ant-ivy,LSZZ,13,0.99,0.25,0.10014626706709742,0.5473529214454196,-0.06785187327529535
ant-ivy,LSZZ,13,0.995,0.0,0.09137391819106697,0.5423287788419624,-0.03312021685374657
ant-ivy,LSZZ,13,0.995,0.05,0.10149647931842407,0.5528805971033135,-0.03312021685374657
